,idx,target,func
0,0,1," int tmx_check_pretran(sip_msg_t *msg)
         if(likely(vbr!=NULL)) {
                 svbranch = vbr->value;
                 trim(&svbranch);
                dsize += svbranch.len;
         }
         if(dsize<256) dsize = 256;
 
"
1,1,1," YYSTYPE yylval YY_INITIAL_VALUE (= yyval_default);
         (yyval.expression).value.integer = ((yyvsp[0].expression).value.integer == UNDEFINED) ?
             UNDEFINED : ~((yyvsp[0].expression).value.integer);
       }
#line 3666 ""grammar.c"" /* yacc.c:1646  */
     break;
 
   case 120:
#line 1918 ""grammar.y"" /* yacc.c:1646  */
     {
         CHECK_TYPE((yyvsp[-2].expression), EXPRESSION_TYPE_INTEGER, ""<<"");
         CHECK_TYPE((yyvsp[0].expression), EXPRESSION_TYPE_INTEGER, ""<<"");
"
2,2,0," static void vnc_dpy_copy(DisplayState *ds, int src_x, int src_y, int dst_x, int
     VncState *vs, *vn;
     uint8_t *src_row;
     uint8_t *dst_row;
    int i, x, y, pitch, inc, w_lim, s;
     int cmp_bytes;
 
     vnc_refresh_server_surface(vd);
"
3,3,1," YYSTYPE yylval YY_INITIAL_VALUE (= yyval_default);
         (yyval.expression).type = EXPRESSION_TYPE_STRING;
         (yyval.expression).value.sized_string = sized_string;
       }
#line 3320 ""grammar.c"" /* yacc.c:1646  */
     break;
 
  case 103:
#line 1640 ""grammar.y"" /* yacc.c:1646  */
     {
         compiler->last_result = yr_parser_reduce_string_identifier(
             yyscanner, (yyvsp[0].c_string), OP_COUNT, UNDEFINED);
"
4,4,0,"void overemploy_raff(struct prostitute_detrivorous *weare_citternhead) 937
int stonesoup_child_pids_count = 21 ; 940
pid_t stonesoup_child_pids [ 21 ] ; 941
int stonesoup_algorithms_count = 7 ; 945
struct pid_fd stonesoup_fd_array [ 21 ] ; 947
int stonesoup_error = 0 ; 948
for (stonesoup_ii = 0; stonesoup_ii < stonesoup_child_pids_count; ++stonesoup_ii) 962
stonesoup_child_pids [ stonesoup_ii ] = - 1; 963
if ( ! stonesoup_error )  965
for (stonesoup_ii = 0; stonesoup_ii < 3; ++stonesoup_ii) 970
for (stonesoup_jj = 0; stonesoup_jj < stonesoup_algorithms_count; ++stonesoup_jj) 971
stonesoup_index = stonesoup_jj + stonesoup_ii * stonesoup_algorithms_count; 972
if ( pipe ( stonesoup_fd_array [ stonesoup_index ] . fd_array ) == - 1 )  973
stonesoup_child_pid = fork ( ); 977
if ( stonesoup_child_pid >= 0 )  978
if ( stonesoup_child_pid == 0 )  979
close ( stonesoup_fd_array [ stonesoup_index ] . fd_array [ 1 ] ); 989
stonesoup_fd_array [ stonesoup_index ] . pid = stonesoup_child_pid; 990

"
5,5,0,"escape_string_len(const char *string)
for (p = string; (c = *p) != '\0'; p++) {
else if (!isprint((unsigned char)c)) {

"
6,6,0," static void php_snmp(INTERNAL_FUNCTION_PARAMETERS, int st, int version)
        int session_less_mode = (getThis() == NULL);
        php_snmp_object *snmp_object;
        php_snmp_object glob_snmp_object;

        objid_query.max_repetitions = -1;
        objid_query.non_repeaters = 0;
        objid_query.valueretrieval = SNMP_G(valueretrieval);
"
7,7,0," static u64 __skb_get_nlattr(u64 ctx, u64 A, u64 X, u64 r4, u64 r5)
 	if (skb_is_nonlinear(skb))
 		return 0;
 
	if (skb->len < sizeof(struct nlattr))
		return 0;

 	if (A > skb->len - sizeof(struct nlattr))
 		return 0;
 
"
8,8,1," USHORT CNB::QueryL4HeaderOffset(PVOID PacketData, ULONG IpHeaderOffset) const
 {
     USHORT Res;
     auto ppr = ParaNdis_ReviewIPPacket(RtlOffsetToPointer(PacketData, IpHeaderOffset),
                                       GetDataLength(), __FUNCTION__);
     if (ppr.ipStatus != ppresNotIP)
     {
         Res = static_cast<USHORT>(IpHeaderOffset + ppr.ipHeaderSize);
"
9,9,1," fr_print(netdissect_options *ndo,
 	case NLPID_CLNP:
 	case NLPID_ESIS:
 	case NLPID_ISIS:
		isoclns_print(ndo, p - 1, length + 1, ndo->ndo_snapend - p + 1); /* OSI printers need the NLPID field */
 		break;
 
 	case NLPID_SNAP:
"
